Scopus-10-Analyze-Country

"Your query : (TITLE-ABS-KEY(( ""air transport""  OR  aviation  OR  airports  OR  airlines )  AND  (sustainability OR sustainable)) AND ( LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ch"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""cr"" ) OR LIMIT-TO ( DOCTYPE,""bk"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) )  AND ( LIMIT-TO ( SRCTYPE,""j"" ) OR LIMIT-TO ( SRCTYPE,""p"" ) OR LIMIT-TO ( SRCTYPE,""k"" ) OR LIMIT-TO ( SRCTYPE,""b"" ) ) )"


Number of results : 10

"COUNTRY/TERRITORY",
"United States","782"
"United Kingdom","433"
"China","335"
"Germany","276"
"Australia","200"
"Italy","200"
"Canada","169"
"Turkey","161"
"Netherlands","159"
"India","155"
"Spain","125"
"France","114"
"Malaysia","111"
"Brazil","78"
"Sweden","77"
"South Korea","72"
"Indonesia","71"
"Japan","66"
"Poland","64"
"Taiwan","58"
"Hong Kong","52"
"Norway","49"
"Switzerland","49"
"Belgium","44"
"Russian Federation","43"
"South Africa","43"
"United Arab Emirates","39"
"Greece","37"
"Portugal","37"
"Thailand","37"
"Mexico","36"
"Finland","35"
"New Zealand","34"
"Singapore","32"
"Iran","31"
"Ukraine","30"
"Pakistan","29"
"Romania","28"
"Saudi Arabia","26"
"Austria","25"
"Denmark","24"
"Czech Republic","22"
"Ireland","22"
"Egypt","21"
"Hungary","21"
"Slovakia","19"
"Bangladesh","16"
"Qatar","15"
"Nigeria","14"
"Viet Nam","12"
"Croatia","11"
"Lithuania","10"
"Kuwait","9"
"Slovenia","9"
"Colombia","8"
"Israel","8"
"Chile","7"
"Jordan","7"
"Bahrain","6"
"Estonia","6"
"Ethiopia","6"
"Kazakhstan","6"
"Serbia","6"
"Iraq","5"
"Oman","5"
"Sri Lanka","5"
"Cyprus","4"
"Ghana","4"
"Iceland","4"
"Latvia","4"
"Luxembourg","4"
"Argentina","3"
"Botswana","3"
"Kenya","3"
"Lebanon","3"
"Mauritius","3"
"Peru","3"
"Philippines","3"
"Brunei Darussalam","2"
"Bulgaria","2"
"Costa Rica","2"
"Georgia","2"
"Libyan Arab Jamahiriya","2"
"Morocco","2"
"Palestine","2"
"Tunisia","2"
"Yemen","2"
"Zimbabwe","2"
"Algeria","1"
"Azerbaijan","1"
"Belarus","1"
"Bolivia","1"
"Bosnia and Herzegovina","1"
"Cameroon","1"
"Democratic Republic Congo","1"
"Ecuador","1"
"Fiji","1"
"Greenland","1"
"Grenada","1"
"Lesotho","1"
"Liechtenstein","1"
"Macao","1"
"Mali","1"
"Malta","1"
"Mongolia","1"
"Montenegro","1"
"Nepal","1"
"North Macedonia","1"
"Papua New Guinea","1"
"Puerto Rico","1"
"Senegal","1"
"Syrian Arab Republic","1"
"Tanzania","1"
"Uganda","1"
"Undefined","247"
