null

"Your query : (TITLE-ABS-KEY(( ""air transport""  OR  aviation  OR  airports  OR  airlines )  AND  (sustainability OR sustainable)) AND ( LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ch"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""cr"" ) OR LIMIT-TO ( DOCTYPE,""bk"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) )  AND ( LIMIT-TO ( SRCTYPE,""j"" ) OR LIMIT-TO ( SRCTYPE,""p"" ) OR LIMIT-TO ( SRCTYPE,""k"" ) OR LIMIT-TO ( SRCTYPE,""b"" ) ) )"


Number of results : 10

,
"National Natural Science Foundation of China","101"
"Federal Aviation Administration","83"
"Horizon 2020 Framework Programme","65"
"European Commission","61"
"U.S. Department of Energy","47"
"Deutsche Forschungsgemeinschaft","38"
"Engineering and Physical Sciences Research Council","36"
"Horizon 2020","27"
"National Aeronautics and Space Administration","25"
"European Regional Development Fund","23"
"National Science Foundation","21"
"Natural Sciences and Engineering Research Council of Canada","21"
"National Key Research and Development Program of China","20"
"National Institute of Food and Agriculture","17"
"U.S. Department of Agriculture","17"
"Consejo Nacional de Ciencia y Tecnología","16"
"Conselho Nacional de Desenvolvimento Científico e Tecnológico","16"
"Fundamental Research Funds for the Central Universities","16"
"National Research Foundation of Korea","16"
"Ministry of Science and Technology, Taiwan","14"
"Office of Naval Research","14"
"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","13"
"Fundação para a Ciência e a Tecnologia","13"
"Seventh Framework Programme","13"
"Bioenergy Technologies Office","11"
"China Postdoctoral Science Foundation","11"
"Deutsches Zentrum für Luft- und Raumfahrt","11"
"Japan Society for the Promotion of Science","11"
"Office of Energy Efficiency and Renewable Energy","11"
"Boeing","10"
"Energimyndigheten","10"
"Ministry of Education of the People's Republic of China","9"
"Office of Science","9"
"Technische Universität Braunschweig","9"
"Australian Research Council","8"
"National Office for Philosophy and Social Sciences","8"
"Social Sciences and Humanities Research Council of Canada","8"
"UK Research and Innovation","8"
"Air Force Research Laboratory","7"
"China Scholarship Council","7"
"Natural Environment Research Council","7"
"Norges Forskningsråd","7"
"Biological and Environmental Research","6"
"Chinese Academy of Sciences","6"
"Civil Aviation University of China","6"
"Department of Science and Technology, Ministry of Science and Technology, India","6"
"Economic and Social Research Council","6"
"Ministry of Science and Technology of the People's Republic of China","6"
"Purdue University","6"
"Transport Canada","6"
"U.S. Department of Transportation","6"
"Bundesministerium für Bildung und Forschung","5"
"Bundesministerium für Wirtschaft und Energie","5"
"Hong Kong Polytechnic University","5"
"Lawrence Berkeley National Laboratory","5"
"Ministerio de Ciencia e Innovación","5"
"Ministry of Science, ICT and Future Planning","5"
"Narodowe Centrum Nauki","5"
"National Renewable Energy Laboratory","5"
"Pacific Northwest National Laboratory","5"
"Research Grants Council, University Grants Committee","5"
"Technische Universiteit Delft","5"
"Türkiye Bilimsel ve Teknolojik Araştirma Kurumu","5"
"Universiti Teknologi Malaysia","5"
"Air Force Office of Scientific Research","4"
"Bundesministerium für Verkehr und Digitale Infrastruktur","4"
"Cranfield University","4"
"Deanship of Scientific Research, King Faisal University","4"
"European Social Fund","4"
"Fundação de Amparo à Pesquisa do Estado de São Paulo","4"
"Government of South Australia","4"
"Junta de Andalucía","4"
"King Abdullah University of Science and Technology","4"
"Ministerio de Economía y Competitividad","4"
"Ministero dell’Istruzione, dell’Università e della Ricerca","4"
"National Nuclear Security Administration","4"
"National Research Council Canada","4"
"Natural Science Foundation of Jiangsu Province","4"
"Universidade Estadual de Campinas","4"
"Universiti Putra Malaysia","4"
"Universiti Sains Malaysia","4"
"VINNOVA","4"
"Airbus","3"
"Alexander von Humboldt-Stiftung","3"
"Chinese Government Scholarship","3"
"Civil Aviation Administration of China","3"
"Education Department of Sichuan Province","3"
"Eidgenössische Technische Hochschule Zürich","3"
"Fundação de Amparo à Pesquisa do Estado de Minas Gerais","3"
"Gottfried Wilhelm Leibniz Universität Hannover","3"
"H2020 Marie Skłodowska-Curie Actions","3"
"Helmholtz Association","3"
"Inha University","3"
"Innovationsfonden","3"
"Khalifa University of Science, Technology and Research","3"
"King Saud University","3"
"Korea Transport Institute","3"
"Kungliga Tekniska Högskolan","3"
"Lunds Universitet","3"
"Marie Curie","3"
"Ministarstvo Prosvete, Nauke i Tehnološkog Razvoja","3"
"Ministerie van Economische Zaken","3"
"Ministerio de Ciencia, Innovación y Universidades","3"
"Ministry of Education","3"
"Ministry of Education, Culture, Sports, Science and Technology","3"
"Ministry of Higher Education, Malaysia","3"
"Mitacs","3"
"National Basic Research Program of China (973 Program)","3"
"National Research Foundation Singapore","3"
"Nederlandse Organisatie voor Wetenschappelijk Onderzoek","3"
"Royal Academy of Engineering","3"
"Russian Foundation for Basic Research","3"
"Russian Science Foundation","3"
"Sichuan University","3"
"Staatssekretariat für Bildung, Forschung und Innovation","3"
"Suranaree University of Technology","3"
"Technische Universität München","3"
"Tekes","3"
"Transportation Research Board","3"
"Universidad de Castilla-La Mancha","3"
"Universitat Rovira i Virgili","3"
"Universiti Malaysia Pahang","3"
"University of Dayton","3"
"Università di Pisa","3"
"Washington State University","3"
"Österreichische Forschungsförderungsgesellschaft","3"
"Agencia Estatal de Investigación","2"
