Scopus-10-Analyze-Year

"Your query : (TITLE-ABS-KEY(( ""air transport""  OR  aviation  OR  airports  OR  airlines )  AND  (sustainability OR sustainable)) AND ( LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ch"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""cr"" ) OR LIMIT-TO ( DOCTYPE,""bk"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) )  AND ( LIMIT-TO ( SRCTYPE,""j"" ) OR LIMIT-TO ( SRCTYPE,""p"" ) OR LIMIT-TO ( SRCTYPE,""k"" ) OR LIMIT-TO ( SRCTYPE,""b"" ) ) )"


Number of results : 10

"YEAR",
"2023","65"
"2022","607"
"2021","543"
"2020","375"
"2019","321"
"2018","283"
"2017","209"
"2016","198"
"2015","154"
"2014","191"
"2013","107"
"2012","155"
"2011","125"
"2010","93"
"2009","77"
"2008","71"
"2007","71"
"2006","54"
"2005","44"
"2004","36"
"2003","21"
"2002","9"
"2001","15"
"2000","13"
"1999","8"
"1998","11"
"1997","5"
"1996","4"
"1995","4"
"1994","1"
"1993","2"
"1992","2"
"1990","1"
"1989","1"
"1988","1"
"1986","2"
"1985","1"
"1984","1"
"1983","1"
